colour	x	y	key	label	showSelected1	showSelected2	PANEL
#7F7F7F	50	0.15	sous-entraînement	Erreur sur sous-entraînement : 1.0848	11	sous-entraînement	4
#000000	50	0	validation	Erreur sur validation : 1.0697	11	validation	4
#7F7F7F	50	0.15	sous-entraînement	Erreur sur sous-entraînement : 1.1347	12	sous-entraînement	4
#000000	50	0	validation	Erreur sur validation : 1.1241	12	validation	4
#7F7F7F	50	0.15	sous-entraînement	Erreur sur sous-entraînement : 1.2183	13	sous-entraînement	4
#000000	50	0	validation	Erreur sur validation : 1.1418	13	validation	4
#7F7F7F	50	0.15	sous-entraînement	Erreur sur sous-entraînement : 1.2841	14	sous-entraînement	4
#000000	50	0	validation	Erreur sur validation : 1.1908	14	validation	4
#7F7F7F	50	0.15	sous-entraînement	Erreur sur sous-entraînement : 1.3638	15	sous-entraînement	4
#000000	50	0	validation	Erreur sur validation : 1.2095	15	validation	4
#7F7F7F	50	0.15	sous-entraînement	Erreur sur sous-entraînement : 1.4078	16	sous-entraînement	4
#000000	50	0	validation	Erreur sur validation : 1.2365	16	validation	4
#7F7F7F	50	0.15	sous-entraînement	Erreur sur sous-entraînement : 1.4584	17	sous-entraînement	4
#000000	50	0	validation	Erreur sur validation : 1.2391	17	validation	4
#7F7F7F	50	0.15	sous-entraînement	Erreur sur sous-entraînement : 1.5257	18	sous-entraînement	4
#000000	50	0	validation	Erreur sur validation : 1.2338	18	validation	4
#7F7F7F	50	0.15	sous-entraînement	Erreur sur sous-entraînement : 1.6252	19	sous-entraînement	4
#000000	50	0	validation	Erreur sur validation : 1.2459	19	validation	4
#7F7F7F	50	0.15	sous-entraînement	Erreur sur sous-entraînement : 1.7067	20	sous-entraînement	4
#000000	50	0	validation	Erreur sur validation : 1.2530	20	validation	4
#7F7F7F	50	0.15	sous-entraînement	Erreur sur sous-entraînement : 1.7627	21	sous-entraînement	4
#000000	50	0	validation	Erreur sur validation : 1.2736	21	validation	4
#7F7F7F	50	0.15	sous-entraînement	Erreur sur sous-entraînement : 1.8335	22	sous-entraînement	4
#000000	50	0	validation	Erreur sur validation : 1.2978	22	validation	4
#7F7F7F	50	0.15	sous-entraînement	Erreur sur sous-entraînement : 1.8870	23	sous-entraînement	4
#000000	50	0	validation	Erreur sur validation : 1.3255	23	validation	4
#7F7F7F	50	0.15	sous-entraînement	Erreur sur sous-entraînement : 1.9283	24	sous-entraînement	4
#000000	50	0	validation	Erreur sur validation : 1.3605	24	validation	4
#7F7F7F	50	0.15	sous-entraînement	Erreur sur sous-entraînement : 1.9983	25	sous-entraînement	4
#000000	50	0	validation	Erreur sur validation : 1.4067	25	validation	4
#7F7F7F	50	0.15	sous-entraînement	Erreur sur sous-entraînement : 2.0685	26	sous-entraînement	4
#000000	50	0	validation	Erreur sur validation : 1.4533	26	validation	4
#7F7F7F	50	0.15	sous-entraînement	Erreur sur sous-entraînement : 2.1245	27	sous-entraînement	4
#000000	50	0	validation	Erreur sur validation : 1.4931	27	validation	4
#7F7F7F	50	0.15	sous-entraînement	Erreur sur sous-entraînement : 2.1774	28	sous-entraînement	4
#000000	50	0	validation	Erreur sur validation : 1.5246	28	validation	4
#7F7F7F	50	0.15	sous-entraînement	Erreur sur sous-entraînement : 2.2499	29	sous-entraînement	4
#000000	50	0	validation	Erreur sur validation : 1.5556	29	validation	4
#7F7F7F	50	0.15	sous-entraînement	Erreur sur sous-entraînement : 2.3032	30	sous-entraînement	4
#000000	50	0	validation	Erreur sur validation : 1.5940	30	validation	4
#7F7F7F	50	0.15	sous-entraînement	Erreur sur sous-entraînement : 2.3470	31	sous-entraînement	4
#000000	50	0	validation	Erreur sur validation : 1.6190	31	validation	4
#7F7F7F	50	0.15	sous-entraînement	Erreur sur sous-entraînement : 2.4059	32	sous-entraînement	4
#000000	50	0	validation	Erreur sur validation : 1.6453	32	validation	4
#7F7F7F	50	0.15	sous-entraînement	Erreur sur sous-entraînement : 2.4642	33	sous-entraînement	4
#000000	50	0	validation	Erreur sur validation : 1.6959	33	validation	4
#7F7F7F	50	0.15	sous-entraînement	Erreur sur sous-entraînement : 2.5032	34	sous-entraînement	4
#000000	50	0	validation	Erreur sur validation : 1.7202	34	validation	4
#7F7F7F	50	0.15	sous-entraînement	Erreur sur sous-entraînement : 2.5420	35	sous-entraînement	4
#000000	50	0	validation	Erreur sur validation : 1.7624	35	validation	4
#7F7F7F	50	0.15	sous-entraînement	Erreur sur sous-entraînement : 2.5711	36	sous-entraînement	4
#000000	50	0	validation	Erreur sur validation : 1.7928	36	validation	4
#7F7F7F	50	0.15	sous-entraînement	Erreur sur sous-entraînement : 2.6113	37	sous-entraînement	4
#000000	50	0	validation	Erreur sur validation : 1.8355	37	validation	4
#7F7F7F	50	0.15	sous-entraînement	Erreur sur sous-entraînement : 2.6398	38	sous-entraînement	4
#000000	50	0	validation	Erreur sur validation : 1.8743	38	validation	4
#7F7F7F	50	0.15	sous-entraînement	Erreur sur sous-entraînement : 2.6708	39	sous-entraînement	4
#000000	50	0	validation	Erreur sur validation : 1.9147	39	validation	4
#7F7F7F	50	0.15	sous-entraînement	Erreur sur sous-entraînement : 2.6929	40	sous-entraînement	4
#000000	50	0	validation	Erreur sur validation : 1.9524	40	validation	4
#7F7F7F	50	0.15	sous-entraînement	Erreur sur sous-entraînement : 2.7160	41	sous-entraînement	4
#000000	50	0	validation	Erreur sur validation : 2.0022	41	validation	4
#7F7F7F	50	0.15	sous-entraînement	Erreur sur sous-entraînement : 2.7414	42	sous-entraînement	4
#000000	50	0	validation	Erreur sur validation : 2.0404	42	validation	4
#7F7F7F	50	0.15	sous-entraînement	Erreur sur sous-entraînement : 2.7744	43	sous-entraînement	4
#000000	50	0	validation	Erreur sur validation : 2.1024	43	validation	4
#7F7F7F	50	0.15	sous-entraînement	Erreur sur sous-entraînement : 2.8117	44	sous-entraînement	4
#000000	50	0	validation	Erreur sur validation : 2.1678	44	validation	4
#7F7F7F	50	0.15	sous-entraînement	Erreur sur sous-entraînement : 2.8361	45	sous-entraînement	4
#000000	50	0	validation	Erreur sur validation : 2.2136	45	validation	4
#7F7F7F	50	0.15	sous-entraînement	Erreur sur sous-entraînement : 2.8713	46	sous-entraînement	4
#000000	50	0	validation	Erreur sur validation : 2.2763	46	validation	4
#7F7F7F	50	0.15	sous-entraînement	Erreur sur sous-entraînement : 2.8895	47	sous-entraînement	4
#000000	50	0	validation	Erreur sur validation : 2.3299	47	validation	4
#7F7F7F	50	0.15	sous-entraînement	Erreur sur sous-entraînement : 2.9245	48	sous-entraînement	4
#000000	50	0	validation	Erreur sur validation : 2.4025	48	validation	4
#7F7F7F	50	0.15	sous-entraînement	Erreur sur sous-entraînement : 2.9365	49	sous-entraînement	4
#000000	50	0	validation	Erreur sur validation : 2.4501	49	validation	4
#7F7F7F	50	0.15	sous-entraînement	Erreur sur sous-entraînement : 2.9563	50	sous-entraînement	4
#000000	50	0	validation	Erreur sur validation : 2.4929	50	validation	4
